Comunidades y Ciudades Autónomas	Viajeros y pernoctaciones	Residencia	Periodo	Total
14 Murcia, Región de	Pernoctaciones	Residentes en España	2018M10	26.620
14 Murcia, Región de	Pernoctaciones	Residentes en España	2018M09	55.506
14 Murcia, Región de	Pernoctaciones	Residentes en España	2018M08	142.859
14 Murcia, Región de	Pernoctaciones	Residentes en España	2018M07	123.926
14 Murcia, Región de	Pernoctaciones	Residentes en España	2018M06	66.227
14 Murcia, Región de	Pernoctaciones	Residentes en España	2018M05	34.197
14 Murcia, Región de	Pernoctaciones	Residentes en España	2018M04	28.090
14 Murcia, Región de	Pernoctaciones	Residentes en España	2018M03	28.578
14 Murcia, Región de	Pernoctaciones	Residentes en España	2018M02	14.260
14 Murcia, Región de	Pernoctaciones	Residentes en España	2018M01	14.226
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2021M08	21.148
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2021M07	12.279
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2021M06	6.012
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2021M05	3.352
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2021M04	2.358
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2021M03	4.183
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2021M02	1.984
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2021M01	2.013
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2020M12	1.974
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2020M11	1.615
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2020M10	3.355
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2020M09	3.577
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2020M08	9.143
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2020M07	5.885
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2020M06	800
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2020M05	.
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2020M04	0
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2020M03	6.921
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2020M02	16.399
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2020M01	12.235
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2019M12	9.847
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2019M11	20.082
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2019M10	28.152
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2019M09	27.193
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2019M08	31.125
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2019M07	24.864
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2019M06	25.360
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2019M05	17.377
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2019M04	20.346
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2019M03	23.926
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2019M02	20.320
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2019M01	14.491
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2018M12	10.440
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2018M11	23.009
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2018M10	29.853
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2018M09	27.143
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2018M08	36.711
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2018M07	31.790
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2018M06	31.064
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2018M05	19.404
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2018M04	20.462
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2018M03	23.889
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2018M02	18.912
14 Murcia, Región de	Pernoctaciones	Residentes en el Extranjero	2018M01	12.725
15 Navarra, Comunidad Foral de	Viajero	Total 	2021M08	7.457
15 Navarra, Comunidad Foral de	Viajero	Total 	2021M07	6.509
15 Navarra, Comunidad Foral de	Viajero	Total 	2021M06	3.851
15 Navarra, Comunidad Foral de	Viajero	Total 	2021M05	2.330
15 Navarra, Comunidad Foral de	Viajero	Total 	2021M04	910
15 Navarra, Comunidad Foral de	Viajero	Total 	2021M03	854
15 Navarra, Comunidad Foral de	Viajero	Total 	2021M02	901
15 Navarra, Comunidad Foral de	Viajero	Total 	2021M01	866
15 Navarra, Comunidad Foral de	Viajero	Total 	2020M12	1.360
15 Navarra, Comunidad Foral de	Viajero	Total 	2020M11	1.112
15 Navarra, Comunidad Foral de	Viajero	Total 	2020M10	2.967
15 Navarra, Comunidad Foral de	Viajero	Total 	2020M09	3.095
15 Navarra, Comunidad Foral de	Viajero	Total 	2020M08	7.778
15 Navarra, Comunidad Foral de	Viajero	Total 	2020M07	5.905
15 Navarra, Comunidad Foral de	Viajero	Total 	2020M06	2.690
15 Navarra, Comunidad Foral de	Viajero	Total 	2020M05	607
15 Navarra, Comunidad Foral de	Viajero	Total 	2020M04	0
15 Navarra, Comunidad Foral de	Viajero	Total 	2020M03	1.610
15 Navarra, Comunidad Foral de	Viajero	Total 	2020M02	5.059
15 Navarra, Comunidad Foral de	Viajero	Total 	2020M01	4.125
15 Navarra, Comunidad Foral de	Viajero	Total 	2019M12	7.907
15 Navarra, Comunidad Foral de	Viajero	Total 	2019M11	6.130
15 Navarra, Comunidad Foral de	Viajero	Total 	2019M10	7.125
15 Navarra, Comunidad Foral de	Viajero	Total 	2019M09	7.204
15 Navarra, Comunidad Foral de	Viajero	Total 	2019M08	10.397
15 Navarra, Comunidad Foral de	Viajero	Total 	2019M07	8.441
15 Navarra, Comunidad Foral de	Viajero	Total 	2019M06	8.139
15 Navarra, Comunidad Foral de	Viajero	Total 	2019M05	7.596
15 Navarra, Comunidad Foral de	Viajero	Total 	2019M04	6.060
15 Navarra, Comunidad Foral de	Viajero	Total 	2019M03	3.933
15 Navarra, Comunidad Foral de	Viajero	Total 	2019M02	2.569
15 Navarra, Comunidad Foral de	Viajero	Total 	2019M01	1.758
15 Navarra, Comunidad Foral de	Viajero	Total 	2018M12	6.511
15 Navarra, Comunidad Foral de	Viajero	Total 	2018M11	6.234
15 Navarra, Comunidad Foral de	Viajero	Total 	2018M10	7.579
15 Navarra, Comunidad Foral de	Viajero	Total 	2018M09	7.521
15 Navarra, Comunidad Foral de	Viajero	Total 	2018M08	12.950
15 Navarra, Comunidad Foral de	Viajero	Total 	2018M07	9.157
15 Navarra, Comunidad Foral de	Viajero	Total 	2018M06	8.969
15 Navarra, Comunidad Foral de	Viajero	Total 	2018M05	8.291
15 Navarra, Comunidad Foral de	Viajero	Total 	2018M04	6.690
15 Navarra, Comunidad Foral de	Viajero	Total 	2018M03	5.678
15 Navarra, Comunidad Foral de	Viajero	Total 	2018M02	2.267
15 Navarra, Comunidad Foral de	Viajero	Total 	2018M01	1.915
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2021M08	6.431
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2021M07	5.867
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2021M06	3.424
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2021M05	2.054
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2021M04	825
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2021M03	667
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2021M02	.
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2021M01	754
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2020M12	1.237
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2020M11	1.095
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2020M10	2.550
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2020M09	2.799
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2020M08	6.715
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2020M07	4.667
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2020M06	2.491
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2020M05	.
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2020M04	0
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2020M03	1.472
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2020M02	4.323
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2020M01	3.464
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2019M12	6.961
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2019M11	5.216
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2019M10	5.204
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2019M09	4.655
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2019M08	6.796
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2019M07	5.079
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2019M06	5.287
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2019M05	4.910
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2019M04	4.637
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2019M03	3.264
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2019M02	2.132
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2019M01	999
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2018M12	5.535
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2018M11	5.220
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2018M10	5.603
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2018M09	4.895
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2018M08	8.671
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2018M07	5.812
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2018M06	6.234
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2018M05	5.042
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2018M04	4.590
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2018M03	4.708
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2018M02	1.833
15 Navarra, Comunidad Foral de	Viajero	Residentes en España	2018M01	1.401
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2021M08	1.027
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2021M07	642
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2021M06	428
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2021M05	275
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2021M04	84
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2021M03	187
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2021M02	.
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2021M01	113
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2020M12	123
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2020M11	17
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2020M10	417
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2020M09	296
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2020M08	1.063
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2020M07	1.238
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2020M06	199
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2020M05	.
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2020M04	0
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2020M03	138
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2020M02	736
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2020M01	661
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2019M12	946
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2019M11	914
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2019M10	1.921
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2019M09	2.548
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2019M08	3.601
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2019M07	3.362
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2019M06	2.852
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2019M05	2.686
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2019M04	1.423
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2019M03	670
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2019M02	437
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2019M01	759
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2018M12	976
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2018M11	1.014
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2018M10	1.976
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2018M09	2.626
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2018M08	4.279
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2018M07	3.345
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2018M06	2.734
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2018M05	3.248
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2018M04	2.100
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2018M03	970
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2018M02	434
15 Navarra, Comunidad Foral de	Viajero	Residentes en el Extranjero	2018M01	513
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2021M08	28.370
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2021M07	20.771
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2021M06	13.052
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2021M05	9.865
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2021M04	7.682
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2021M03	9.361
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2021M02	8.438
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2021M01	7.236
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2020M12	9.928
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2020M11	7.718
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2020M10	10.240
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2020M09	12.677
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2020M08	25.346
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2020M07	17.591
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2020M06	7.091
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2020M05	4.183
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2020M04	0
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2020M03	5.331
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2020M02	15.726
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2020M01	13.447
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2019M12	19.133
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2019M11	18.464
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2019M10	17.512
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2019M09	19.439
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2019M08	36.419
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2019M07	20.787
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2019M06	20.934
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2019M05	18.983
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2019M04	16.011
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2019M03	10.809
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2019M02	8.155
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2019M01	7.175
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2018M12	22.045
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2018M11	22.511
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2018M10	22.816
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2018M09	22.994
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2018M08	49.499
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2018M07	31.096
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2018M06	23.970
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2018M05	21.409
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2018M04	19.641
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2018M03	20.088
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2018M02	11.057
15 Navarra, Comunidad Foral de	Pernoctaciones	Total 	2018M01	10.063
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2021M08	24.736
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2021M07	19.163
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2021M06	11.834
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2021M05	9.188
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2021M04	5.930
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2021M03	7.080
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2021M02	7.317
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2021M01	5.098
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2020M12	7.574
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2020M11	7.016
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2020M10	8.135
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2020M09	11.360
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2020M08	22.896
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2020M07	15.439
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2020M06	6.610
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2020M05	.
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2020M04	0
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2020M03	4.451
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2020M02	11.550
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2020M01	9.266
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2019M12	16.240
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2019M11	13.336
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2019M10	11.884
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2019M09	13.118
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2019M08	26.532
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2019M07	13.152
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2019M06	12.716
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2019M05	10.231
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2019M04	11.452
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2019M03	7.576
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2019M02	6.149
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2019M01	4.124
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2018M12	16.892
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2018M11	17.071
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2018M10	16.628
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2018M09	15.239
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2018M08	37.314
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2018M07	20.959
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2018M06	15.914
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2018M05	13.318
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2018M04	12.792
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2018M03	16.622
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2018M02	8.326
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en España	2018M01	6.852
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2021M08	3.634
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2021M07	1.608
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2021M06	1.218
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2021M05	677
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2021M04	1.752
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2021M03	2.281
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2021M02	1.121
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2021M01	2.138
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2020M12	2.354
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2020M11	702
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2020M10	2.105
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2020M09	1.317
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2020M08	2.450
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2020M07	2.152
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2020M06	482
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2020M05	.
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2020M04	0
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2020M03	880
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2020M02	4.177
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2020M01	4.181
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2019M12	2.893
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2019M11	5.128
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2019M10	5.628
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2019M09	6.321
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2019M08	9.888
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2019M07	7.635
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2019M06	8.218
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2019M05	8.753
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2019M04	4.559
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2019M03	3.233
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2019M02	2.006
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2019M01	3.051
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2018M12	5.153
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2018M11	5.440
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2018M10	6.188
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2018M09	7.755
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2018M08	12.185
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2018M07	10.137
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2018M06	8.055
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2018M05	8.091
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2018M04	6.849
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2018M03	3.467
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2018M02	2.731
15 Navarra, Comunidad Foral de	Pernoctaciones	Residentes en el Extranjero	2018M01	3.211
16 País Vasco	Viajero	Total 	2021M08	18.265
16 País Vasco	Viajero	Total 	2021M07	12.491
16 País Vasco	Viajero	Total 	2021M06	6.615
16 País Vasco	Viajero	Total 	2021M05	4.044
16 País Vasco	Viajero	Total 	2021M04	4.321
16 País Vasco	Viajero	Total 	2021M03	3.394
16 País Vasco	Viajero	Total 	2021M02	1.417
16 País Vasco	Viajero	Total 	2021M01	1.877
16 País Vasco	Viajero	Total 	2020M12	2.281
16 País Vasco	Viajero	Total 	2020M11	1.331
16 País Vasco	Viajero	Total 	2020M10	4.571
16 País Vasco	Viajero	Total 	2020M09	5.533
16 País Vasco	Viajero	Total 	2020M08	12.332
16 País Vasco	Viajero	Total 	2020M07	9.312
16 País Vasco	Viajero	Total 	2020M06	2.897
16 País Vasco	Viajero	Total 	2020M05	1.046
16 País Vasco	Viajero	Total 	2020M04	0
16 País Vasco	Viajero	Total 	2020M03	1.766
16 País Vasco	Viajero	Total 	2020M02	5.997
16 País Vasco	Viajero	Total 	2020M01	4.132
16 País Vasco	Viajero	Total 	2019M12	8.588
16 País Vasco	Viajero	Total 	2019M11	7.134
16 País Vasco	Viajero	Total 	2019M10	12.453
16 País Vasco	Viajero	Total 	2019M09	12.611
16 País Vasco	Viajero	Total 	2019M08	18.081
16 País Vasco	Viajero	Total 	2019M07	16.305
16 País Vasco	Viajero	Total 	2019M06	13.535
16 País Vasco	Viajero	Total 	2019M05	11.815
16 País Vasco	Viajero	Total 	2019M04	11.335
16 País Vasco	Viajero	Total 	2019M03	7.544
16 País Vasco	Viajero	Total 	2019M02	4.742
16 País Vasco	Viajero	Total 	2019M01	3.977
16 País Vasco	Viajero	Total 	2018M12	8.018
16 País Vasco	Viajero	Total 	2018M11	6.692
16 País Vasco	Viajero	Total 	2018M10	10.686
16 País Vasco	Viajero	Total 	2018M09	12.061
16 País Vasco	Viajero	Total 	2018M08	18.313
16 País Vasco	Viajero	Total 	2018M07	16.635
16 País Vasco	Viajero	Total 	2018M06	14.603
16 País Vasco	Viajero	Total 	2018M05	11.565
16 País Vasco	Viajero	Total 	2018M04	9.729
16 País Vasco	Viajero	Total 	2018M03	7.207
16 País Vasco	Viajero	Total 	2018M02	4.123
16 País Vasco	Viajero	Total 	2018M01	3.162
