Mes de defunción	Covid-19	Sexo	Edad	Total
Enero	Otras causas	Total	De 80 a 84 años	6.283
Enero	Otras causas	Total	De 85 a 89 años	9.505
Enero	Otras causas	Total	De 90 a 94 años	7.574
Enero	Otras causas	Total	95 y más años	3.806
Enero	Otras causas	Hombres	Total	21.317
Enero	Otras causas	Hombres	De 0 a 49 años	876
Enero	Otras causas	Hombres	De 50 a 54 años	600
Enero	Otras causas	Hombres	De 55 a 59 años	906
Enero	Otras causas	Hombres	De 60 a 64 años	1.241
Enero	Otras causas	Hombres	De 65 a 69 años	1.607
Enero	Otras causas	Hombres	De 70 a 74 años	2.138
Enero	Otras causas	Hombres	De 75 a 79 años	2.687
Enero	Otras causas	Hombres	De 80 a 84 años	3.320
Enero	Otras causas	Hombres	De 85 a 89 años	4.198
Enero	Otras causas	Hombres	De 90 a 94 años	2.737
Enero	Otras causas	Hombres	95 y más años	1.007
Enero	Otras causas	Mujeres	Total	21.364
Enero	Otras causas	Mujeres	De 0 a 49 años	507
Enero	Otras causas	Mujeres	De 50 a 54 años	319
Enero	Otras causas	Mujeres	De 55 a 59 años	448
Enero	Otras causas	Mujeres	De 60 a 64 años	572
Enero	Otras causas	Mujeres	De 65 a 69 años	738
Enero	Otras causas	Mujeres	De 70 a 74 años	1.134
Enero	Otras causas	Mujeres	De 75 a 79 años	1.740
Enero	Otras causas	Mujeres	De 80 a 84 años	2.963
Enero	Otras causas	Mujeres	De 85 a 89 años	5.307
Enero	Otras causas	Mujeres	De 90 a 94 años	4.837
Enero	Otras causas	Mujeres	95 y más años	2.799
Febrero	Total	Total	Total	36.103
Febrero	Total	Total	De 0 a 49 años	1.198
Febrero	Total	Total	De 50 a 54 años	769
Febrero	Total	Total	De 55 a 59 años	1.211
Febrero	Total	Total	De 60 a 64 años	1.614
Febrero	Total	Total	De 65 a 69 años	2.015
Febrero	Total	Total	De 70 a 74 años	2.773
Febrero	Total	Total	De 75 a 79 años	3.742
Febrero	Total	Total	De 80 a 84 años	5.351
Febrero	Total	Total	De 85 a 89 años	7.722
Febrero	Total	Total	De 90 a 94 años	6.583
Febrero	Total	Total	95 y más años	3.125
Febrero	Total	Hombres	Total	18.101
Febrero	Total	Hombres	De 0 a 49 años	762
Febrero	Total	Hombres	De 50 a 54 años	509
Febrero	Total	Hombres	De 55 a 59 años	807
Febrero	Total	Hombres	De 60 a 64 años	1.080
Febrero	Total	Hombres	De 65 a 69 años	1.384
Febrero	Total	Hombres	De 70 a 74 años	1.845
Febrero	Total	Hombres	De 75 a 79 años	2.297
Febrero	Total	Hombres	De 80 a 84 años	2.797
Febrero	Total	Hombres	De 85 a 89 años	3.463
Febrero	Total	Hombres	De 90 a 94 años	2.368
Febrero	Total	Hombres	95 y más años	789
Febrero	Total	Mujeres	Total	18.002
Febrero	Total	Mujeres	De 0 a 49 años	436
Febrero	Total	Mujeres	De 50 a 54 años	260
Febrero	Total	Mujeres	De 55 a 59 años	404
Febrero	Total	Mujeres	De 60 a 64 años	534
Febrero	Total	Mujeres	De 65 a 69 años	631
Febrero	Total	Mujeres	De 70 a 74 años	928
Febrero	Total	Mujeres	De 75 a 79 años	1.445
Febrero	Total	Mujeres	De 80 a 84 años	2.554
Febrero	Total	Mujeres	De 85 a 89 años	4.259
Febrero	Total	Mujeres	De 90 a 94 años	4.215
Febrero	Total	Mujeres	95 y más años	2.336
Febrero	Covid-19 Virus identificado	Total	Total	..
Febrero	Covid-19 Virus identificado	Total	De 0 a 49 años	..
Febrero	Covid-19 Virus identificado	Total	De 50 a 54 años	..
Febrero	Covid-19 Virus identificado	Total	De 55 a 59 años	..
Febrero	Covid-19 Virus identificado	Total	De 60 a 64 años	..
Febrero	Covid-19 Virus identificado	Total	De 65 a 69 años	..
Febrero	Covid-19 Virus identificado	Total	De 70 a 74 años	..
Febrero	Covid-19 Virus identificado	Total	De 75 a 79 años	..
Febrero	Covid-19 Virus identificado	Total	De 80 a 84 años	..
Febrero	Covid-19 Virus identificado	Total	De 85 a 89 años	..
Febrero	Covid-19 Virus identificado	Total	De 90 a 94 años	..
Febrero	Covid-19 Virus identificado	Total	95 y más años	..
Febrero	Covid-19 Virus identificado	Hombres	Total	..
Febrero	Covid-19 Virus identificado	Hombres	De 0 a 49 años	..
Febrero	Covid-19 Virus identificado	Hombres	De 50 a 54 años	..
Febrero	Covid-19 Virus identificado	Hombres	De 55 a 59 años	..
Febrero	Covid-19 Virus identificado	Hombres	De 60 a 64 años	..
Febrero	Covid-19 Virus identificado	Hombres	De 65 a 69 años	..
Febrero	Covid-19 Virus identificado	Hombres	De 70 a 74 años	..
Febrero	Covid-19 Virus identificado	Hombres	De 75 a 79 años	..
Febrero	Covid-19 Virus identificado	Hombres	De 80 a 84 años	..
Febrero	Covid-19 Virus identificado	Hombres	De 85 a 89 años	..
Febrero	Covid-19 Virus identificado	Hombres	De 90 a 94 años	..
Febrero	Covid-19 Virus identificado	Hombres	95 y más años	..
Febrero	Covid-19 Virus identificado	Mujeres	Total	..
Febrero	Covid-19 Virus identificado	Mujeres	De 0 a 49 años	..
Febrero	Covid-19 Virus identificado	Mujeres	De 50 a 54 años	..
Febrero	Covid-19 Virus identificado	Mujeres	De 55 a 59 años	..
Febrero	Covid-19 Virus identificado	Mujeres	De 60 a 64 años	..
Febrero	Covid-19 Virus identificado	Mujeres	De 65 a 69 años	..
Febrero	Covid-19 Virus identificado	Mujeres	De 70 a 74 años	..
Febrero	Covid-19 Virus identificado	Mujeres	De 75 a 79 años	..
Febrero	Covid-19 Virus identificado	Mujeres	De 80 a 84 años	..
Febrero	Covid-19 Virus identificado	Mujeres	De 85 a 89 años	..
Febrero	Covid-19 Virus identificado	Mujeres	De 90 a 94 años	..
Febrero	Covid-19 Virus identificado	Mujeres	95 y más años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Total	Total	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Total	De 0 a 49 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Total	De 50 a 54 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Total	De 55 a 59 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Total	De 60 a 64 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Total	De 65 a 69 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Total	De 70 a 74 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Total	De 75 a 79 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Total	De 80 a 84 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Total	De 85 a 89 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Total	De 90 a 94 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Total	95 y más años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Hombres	Total	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 0 a 49 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 50 a 54 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 55 a 59 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 60 a 64 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 65 a 69 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 70 a 74 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 75 a 79 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 80 a 84 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 85 a 89 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Hombres	De 90 a 94 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Hombres	95 y más años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Mujeres	Total	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 0 a 49 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 50 a 54 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 55 a 59 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 60 a 64 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 65 a 69 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 70 a 74 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 75 a 79 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 80 a 84 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 85 a 89 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 90 a 94 años	..
Febrero	Covid-19 Virus no identificado (sospechoso)	Mujeres	95 y más años	..
Febrero	Otras causas	Total	Total	36.103
Febrero	Otras causas	Total	De 0 a 49 años	1.198
Febrero	Otras causas	Total	De 50 a 54 años	769
Febrero	Otras causas	Total	De 55 a 59 años	1.211
Febrero	Otras causas	Total	De 60 a 64 años	1.614
Febrero	Otras causas	Total	De 65 a 69 años	2.015
Febrero	Otras causas	Total	De 70 a 74 años	2.773
Febrero	Otras causas	Total	De 75 a 79 años	3.742
Febrero	Otras causas	Total	De 80 a 84 años	5.351
Febrero	Otras causas	Total	De 85 a 89 años	7.722
Febrero	Otras causas	Total	De 90 a 94 años	6.583
Febrero	Otras causas	Total	95 y más años	3.125
Febrero	Otras causas	Hombres	Total	18.101
Febrero	Otras causas	Hombres	De 0 a 49 años	762
Febrero	Otras causas	Hombres	De 50 a 54 años	509
Febrero	Otras causas	Hombres	De 55 a 59 años	807
Febrero	Otras causas	Hombres	De 60 a 64 años	1.080
Febrero	Otras causas	Hombres	De 65 a 69 años	1.384
Febrero	Otras causas	Hombres	De 70 a 74 años	1.845
Febrero	Otras causas	Hombres	De 75 a 79 años	2.297
Febrero	Otras causas	Hombres	De 80 a 84 años	2.797
Febrero	Otras causas	Hombres	De 85 a 89 años	3.463
Febrero	Otras causas	Hombres	De 90 a 94 años	2.368
Febrero	Otras causas	Hombres	95 y más años	789
Febrero	Otras causas	Mujeres	Total	18.002
Febrero	Otras causas	Mujeres	De 0 a 49 años	436
Febrero	Otras causas	Mujeres	De 50 a 54 años	260
Febrero	Otras causas	Mujeres	De 55 a 59 años	404
Febrero	Otras causas	Mujeres	De 60 a 64 años	534
Febrero	Otras causas	Mujeres	De 65 a 69 años	631
Febrero	Otras causas	Mujeres	De 70 a 74 años	928
Febrero	Otras causas	Mujeres	De 75 a 79 años	1.445
Febrero	Otras causas	Mujeres	De 80 a 84 años	2.554
Febrero	Otras causas	Mujeres	De 85 a 89 años	4.259
Febrero	Otras causas	Mujeres	De 90 a 94 años	4.215
Febrero	Otras causas	Mujeres	95 y más años	2.336
Marzo	Total	Total	Total	57.531
Marzo	Total	Total	De 0 a 49 años	1.374
Marzo	Total	Total	De 50 a 54 años	979
Marzo	Total	Total	De 55 a 59 años	1.530
Marzo	Total	Total	De 60 a 64 años	2.240
Marzo	Total	Total	De 65 a 69 años	3.038
Marzo	Total	Total	De 70 a 74 años	4.713
Marzo	Total	Total	De 75 a 79 años	6.804
Marzo	Total	Total	De 80 a 84 años	9.229
Marzo	Total	Total	De 85 a 89 años	12.913
Marzo	Total	Total	De 90 a 94 años	9.942
Marzo	Total	Total	95 y más años	4.769
