Comunidades autónomas,Sexo,Edad,Tipo de dato,Periodo,Total
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM39,1191.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM40,1212.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM41,1231.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM42,1328.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM43,1408.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM44,1434.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM45,1624.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM46,1546.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM47,144.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM48,1448.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM49,1458.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM50,1385.0
